id;start_date;end_date;language
1;2019-12-04T23:21:31;2019-12-04T16:29:48;FRENCH
2;2019-12-04T09:57:46;2019-12-04T22:43:27;ENGLISH
3;2019-12-04T09:24:13;2019-12-04T11:20:33;FRENCH
4;2019-12-04T21:10:03;2019-12-04T13:31:42;ENGLISH
5;2019-12-05T00:19:38;2019-12-05T00:54:35;FRENCH
6;2019-12-04T06:34:56;2019-12-04T03:36:18;SPANISH
7;2019-12-04T15:44:59;2019-12-04T18:48:06;ENGLISH
8;2019-12-04T17:32:56;2019-12-05T01:57:35;FRENCH
9;2019-12-04T18:07:21;2019-12-05T02:44:44;ENGLISH
10;2019-12-04T11:18:16;2019-12-04T10:41:53;SPANISH
